borough,model,mae,rmse,wape_pct,mape_pct
Bronx,lightgbm_tuned,8.491357377170324,14.246819156197631,34.482669551960704,74.83779829893686
Bronx,catboost_tuned,8.608433164504143,13.705841824327878,34.95810422133662,76.43439225065292
Bronx,xgboost_tuned,9.00936518325692,14.59515814837407,36.586254551297145,80.84336760245517
Bronx,glm,10.631076087895512,16.506286205525086,43.17188259043864,117.3401190207429
Bronx,prophet,15.5124199113253,18.91879088499639,62.99459862467127,295.5576571049455
Bronx,stacked,16.95682783820902,25.84683121554249,68.86021457140718,151.81398661653708
Brooklyn,catboost_tuned,19.37337173183143,27.611534118975644,31.003300161437224,63.168363553241576
Brooklyn,lightgbm_tuned,19.603303864791275,27.4424970725217,31.371261662077863,60.74589178700718
Brooklyn,xgboost_tuned,20.61003398611432,29.48081652592861,32.9823367276358,63.65631793485095
Brooklyn,glm,21.197119806736776,28.710984298957715,33.92185299611143,81.27246470964586
Brooklyn,stacked,30.69755565562429,40.5705546772455,49.125446276861126,88.32253087049857
Brooklyn,prophet,32.79267990182517,37.12700468249076,52.47828370648341,159.90956459494663
EWR,xgboost_tuned,0.7683925296490391,1.2217935189848563,86.05996332069238,47.54944176383553
EWR,lightgbm_tuned,0.7752961743282379,1.2307332160435027,86.83317152476265,48.02273285836065
EWR,catboost_tuned,0.777311254159221,1.2185694376439486,87.05886046583274,49.383279353213005
EWR,prophet,0.8017535848115254,1.2157885506021433,89.79640149889083,51.897693106414486
EWR,glm,0.8090583519873219,1.2461705350479082,90.61453542258003,52.21563000309525
EWR,stacked,0.8264970199079694,1.229613437186185,92.56766622969258,56.53049339802734
Manhattan,glm,893.4785794665132,1175.22738330506,29.76602357621529,50.193917313009685
Manhattan,xgboost_tuned,906.6998604365756,1279.8298466517176,30.2064873658426,45.46129881041052
Manhattan,catboost_tuned,913.8700830640148,1283.9260760972622,30.445361604889836,44.80772300572888
Manhattan,lightgbm_tuned,931.295826717322,1324.3810926140045,31.025896055673343,46.055648974940105
Manhattan,stacked,954.6266189072568,1357.276348824042,31.803155775533703,46.25261088924183
Manhattan,prophet,1048.246202813128,1259.554336150232,34.922069654142334,83.34566450262942
Queens,catboost_tuned,106.55653228843993,152.95454971223202,27.46218118071044,44.034305304610704
Queens,xgboost_tuned,108.13055785497028,153.5055065764467,27.86784542637224,43.54777453042767
Queens,lightgbm_tuned,108.20036133058676,154.7241030183105,27.88583546089433,42.3192472451023
Queens,stacked,114.04721187931672,161.52339521647667,29.392709470937334,47.07317684403409
Queens,prophet,126.71328401823588,165.02681733037014,32.657060895075055,87.51965401414171
Queens,glm,129.95767139718015,181.79776796262823,33.493217553962914,70.28638082518864
Staten Island,lightgbm_tuned,0.1324120135354685,0.2887099300636186,148.30145515972478,13.241201353546856
Staten Island,catboost_tuned,0.1603504338725635,0.2813091576089745,179.59248593727116,16.035043387256355
Staten Island,xgboost_tuned,0.1735071881474661,0.2886229983145191,194.32805072516203,17.35071881474661
Staten Island,glm,0.1821525347850004,0.2842644934302788,204.0108389592005,18.21525347850004
Staten Island,prophet,0.185926344370972,0.279384365326771,208.23750569548872,18.592634437097207
Staten Island,stacked,0.203550522826066,0.287170459672084,227.97658556519397,20.355052282606604
Unknown,stacked,3.063426393865861,4.102192385745636,35.17810213051707,67.88239480236484
Unknown,xgboost_tuned,3.437033946315448,4.434908829847573,39.46833239788074,81.33374111758833
Unknown,catboost_tuned,3.491336410360085,4.555444549114375,40.09190136298663,80.46553908218002
Unknown,lightgbm_tuned,3.6768354821692064,4.70980824460374,42.22203424500524,90.71261216078874
Unknown,glm,4.030656775847694,5.125884163593254,46.28505388533237,102.99718491092872
Unknown,prophet,4.196845163429667,5.221596670759615,48.19343728340288,90.43669456178344
