segment_id,cutoff,mae,rmse,mape_pct,n_rows
city,2024-06-29 00:00:00,2048.1012049925653,2297.174944396191,125.8502389568172,336
city,2024-10-24 15:40:00,2351.726847368183,2998.5578218811715,61.9175512114005,336
city,2025-02-19 07:20:00,697.7493063018638,903.416427682892,48.46463559488925,336
city,2025-06-16 23:00:00,673.9265433698883,829.0879923119489,34.94434820268813,336
borough:Bronx,2024-06-29 00:00:00,3.9900463081452235,4.850855919351071,114.46943108768839,314
borough:Bronx,2024-09-22 23:30:00,3.620605157851027,4.989818083005389,57.74405206240535,315
borough:Bronx,2024-12-17 23:00:00,3.816103045261742,5.116638472764417,95.68434898493156,310
borough:Brooklyn,2024-06-29 00:00:00,11.910860110133976,15.754394008539109,81.15405906208618,336
borough:Brooklyn,2024-09-22 23:30:00,12.957030081158011,17.4836339650582,55.426627664571434,335
borough:Brooklyn,2024-12-17 23:00:00,16.162235955111637,20.51334332987528,125.95662621295264,336
borough:EWR,2024-09-23 02:00:00,0.9502382121202254,1.2417972465288019,70.27357648879152,137
borough:EWR,2024-12-17 23:00:00,1.343255764717974,1.6255679349203616,96.5631008369116,137
borough:Manhattan,2024-06-29 00:00:00,1859.36504794737,2107.66642731769,137.25421676301113,336
borough:Manhattan,2024-09-22 23:30:00,1675.715719514799,2121.7148266016916,58.184215606762734,336
borough:Manhattan,2024-12-17 23:00:00,1552.1724276136235,1958.8178280169116,102.18908377809726,336
borough:Queens,2024-06-29 00:00:00,165.98341670944214,184.55098367307062,126.66739604121993,336
borough:Queens,2024-09-22 23:30:00,448.68120798660954,514.1263183603479,459.68423511711325,336
borough:Queens,2024-12-17 23:00:00,112.8912141329528,151.40942299406882,52.570922313362004,336
borough:Unknown,2024-06-29 00:00:00,10.16142205868471,11.746111843211159,161.67988101196764,332
borough:Unknown,2024-09-22 23:30:00,5.212649130897822,6.810072676946326,46.93412497815024,322
borough:Unknown,2024-12-17 23:00:00,4.673043664318129,5.722426155650198,81.21970717609932,320
