model,split,mae,rmse,mape_pct,n_rows
seasonal_naive_borough_lag24,validation,158.71661733983288,472.2554001768216,63.04029454993556,22976
seasonal_naive_borough_lag24,test,140.00664451827242,408.82444996225763,58.413772732249434,19866
