model,split,mae,rmse,mape_pct,n_rows,scope,coverage_pct
seasonal_naive_all_zone_lag24,test,10.06925292449486,26.046790801553804,82.80915517937373,451360.0,all_zones,99.99047414394676
hierarchical_prophet,test,1038.658914513134,2073.392117298501,25832.30032890215,451403.0,all_zones_with_fallback,100.0
prophet_borough_mean_over_segments,test,151.96830958718,380.5563339526007,52.07207856532891,19866.0,borough,100.0
seasonal_naive_borough_lag24,test,140.00664451827242,408.8244499622576,58.413772732249434,19866.0,borough,100.0
prophet_city_h1h2_time_regressors,test,725.836440254837,905.2562208504094,41.345110224883186,3672.0,city,100.0
seasonal_naive_lag24,test,631.8444989106754,928.112876893162,32.60855540529505,3672.0,city,100.0
prophet_top_zone,test,29.750098424506255,44.43995374085381,77.53536166413491,109190.0,top_zones_only,24.18902842914203
seasonal_naive_top_zone_lag24,test,29.50578807583112,49.84416387324328,76.79812735853127,109190.0,top_zones_only,24.18902842914203
seasonal_naive_all_zone_lag24,validation,12.057048930840194,29.71791605105337,81.62080929117003,467844.0,all_zones,99.98910011861635
hierarchical_prophet,validation,1060.9286677513985,2146.8585382529727,22589.637169327736,467895.0,all_zones_with_fallback,100.0
prophet_borough_mean_over_segments,validation,192.19007566613163,433.85027010376695,64.12557961944343,22976.0,borough,100.0
seasonal_naive_borough_lag24,validation,158.71661733983288,472.2554001768216,63.04029454993556,22976.0,borough,100.0
seasonal_naive_lag24,validation,718.9293115358048,1052.917678880326,,4343.0,city,100.0
prophet_city_h1h2_time_regressors,validation,903.0913763956012,1132.3329948846558,,4343.0,city,100.0
seasonal_naive_top_zone_lag24,validation,32.23668634469081,53.43318415523822,79.66330875396073,129078.0,top_zones_only,27.586958612509218
prophet_top_zone,validation,47.874283897729526,81.47900643336641,72.48054014508557,129078.0,top_zones_only,27.586958612509218
