model,mae,rmse,best_borough_count
xgboost_tuned,149.832678732147,211.9080933213734,1
catboost_tuned,150.40534547816887,212.03618927102357,2
glm,151.46947348870654,201.27124870917746,1
lightgbm_tuned,153.16791327998618,218.14625189310644,2
stacked,160.0602411738581,227.26230088798727,1
prophet,175.49273024816094,212.47767409068254,0
