model,split,mae,rmse,mape_pct,n_rows
seasonal_naive_all_zone_lag24,validation,12.057048930840194,29.71791605105337,81.62080929117003,467844
seasonal_naive_all_zone_lag24,test,10.06925292449486,26.046790801553804,82.80915517937373,451360
