model,split,mae,rmse,mape_pct,n_rows,zone_type
hierarchical_prophet,validation,1064.2179933628922,2147.0410881798675,22759.609366430766,467895,
hierarchical_prophet,test,1040.1044319173252,2073.5885814713015,25909.574866309787,451403,
hierarchical_prophet,validation,113.09777284764986,172.05130314324822,101.04227208543801,9844,airport
hierarchical_prophet,validation,1084.6585719245638,2169.8429490618814,23246.565915978164,458051,non_airport
hierarchical_prophet,test,41.44833345734032,61.114813161510924,136.8068468652885,8620,airport
hierarchical_prophet,test,1059.5460445554006,2093.6580049437857,26411.313325843268,442783,non_airport
