segment_id,cutoff,mae,rmse,mape_pct,n_rows
city,2024-06-29 00:00:00,2048.1012049925653,2297.174944396191,125.8502389568172,336
city,2024-10-24 15:40:00,3168.4411203771283,3852.2997123866307,199.25171839957144,336
city,2025-02-19 07:20:00,697.8203050409812,903.4352832097035,48.495775392747696,336
city,2025-06-16 23:00:00,675.9888333877157,830.4641484012651,35.46168296230282,336
borough:Bronx,2024-06-29 00:00:00,3.9900463081452235,4.850855919351071,114.46943108768839,314
borough:Bronx,2024-09-22 23:30:00,3.8693184364286775,5.247639442758116,68.4740357543361,315
borough:Bronx,2024-12-17 23:00:00,3.8295271856916036,5.1251726911802535,96.39844424769579,310
borough:Brooklyn,2024-06-29 00:00:00,11.910860110133976,15.754394008539109,81.15405906208618,336
borough:Brooklyn,2024-09-22 23:30:00,13.005545107383504,17.58273632343881,55.572529650435676,335
borough:Brooklyn,2024-12-17 23:00:00,16.162235955111637,20.51334332987528,125.95662621295264,336
borough:EWR,2024-09-23 02:00:00,0.9502382121202254,1.2417972465288019,70.27357648879152,137
borough:EWR,2024-12-17 23:00:00,1.343255764717974,1.6255679349203616,96.5631008369116,137
borough:Manhattan,2024-06-29 00:00:00,1859.8313880180608,2107.7550054017934,137.39904287192124,336
borough:Manhattan,2024-09-22 23:30:00,1956.9855866117387,2403.4537139855956,110.36948036409665,336
borough:Manhattan,2024-12-17 23:00:00,1553.8430262835107,1959.1616137242245,102.80764548749468,336
borough:Queens,2024-06-29 00:00:00,165.98341670944214,184.55098367307062,126.66739604121993,336
borough:Queens,2024-09-22 23:30:00,448.68120798660954,514.1263183603479,459.68423511711325,336
borough:Queens,2024-12-17 23:00:00,114.05143478732337,152.077949401253,55.25620472311207,336
borough:Unknown,2024-06-29 00:00:00,10.16142205868471,11.746111843211159,161.67988101196764,332
borough:Unknown,2024-09-22 23:30:00,5.260554305079992,6.835813432313591,49.72050288342078,322
borough:Unknown,2024-12-17 23:00:00,4.673043664318129,5.722426155650198,81.21970717609932,320
